Episode: 1, Total reward:-21.0, Explore P: 1.0, loss: 5614.8633
Episode: 2, Total reward:-20.0, Explore P: 0.9999893980624456, loss: 32650.0
Episode: 3, Total reward:-20.0, Explore P: 0.9999677535776981, loss: 668.9943
Episode: 4, Total reward:-21.0, Explore P: 0.9999342574012776, loss: 46.005886
Episode: 5, Total reward:-19.0, Explore P: 0.9998909266099809, loss: 60.86549
Episode: 6, Total reward:-20.0, Explore P: 0.9998349461367272, loss: 2282.8247
Episode: 7, Total reward:-20.0, Explore P: 0.9997658954524693, loss: 873.30237
Episode: 8, Total reward:-21.0, Explore P: 0.9996867195374608, loss: 1119.7017
Episode: 9, Total reward:-20.0, Explore P: 0.9995969352831598, loss: 49.413284
Episode: 10, Total reward:-21.0, Explore P: 0.9994944770273395, loss: 1548.0187
Episode: 11, Total reward:-20.0, Explore P: 0.9993822990717274, loss: 575.3894
Episode: 12, Total reward:-21.0, Explore P: 0.9992587594108198, loss: 2143.3574
Episode: 13, Total reward:-21.0, Explore P: 0.999125148478629, loss: 276.7427
Episode: 14, Total reward:-21.0, Explore P: 0.998981992178928, loss: 161.73631
Episode: 15, Total reward:-21.0, Explore P: 0.9988279827877993, loss: 1182.9836
Episode: 16, Total reward:-21.0, Explore P: 0.9986639257017669, loss: 427.1789
Episode: 17, Total reward:-21.0, Explore P: 0.9984884966686144, loss: 2206.0806
Episode: 18, Total reward:-20.0, Explore P: 0.9983014149036975, loss: 43.18064
Episode: 19, Total reward:-21.0, Explore P: 0.9981024541939891, loss: 268.49774
Episode: 20, Total reward:-19.0, Explore P: 0.9978940826767163, loss: 527.9283
Episode: 21, Total reward:-19.0, Explore P: 0.9976745474792443, loss: 1007.8014
Episode: 22, Total reward:-19.0, Explore P: 0.9974435875812617, loss: 219.47806
Episode: 23, Total reward:-21.0, Explore P: 0.9972009516410373, loss: 1345.0889
Episode: 24, Total reward:-21.0, Explore P: 0.9969488287448082, loss: 376.38297
Episode: 25, Total reward:-21.0, Explore P: 0.9966867965181776, loss: 1066.7795
Episode: 26, Total reward:-21.0, Explore P: 0.996414540978691, loss: 883.51154
Episode: 27, Total reward:-21.0, Explore P: 0.9961323672094693, loss: 375.29132
Episode: 28, Total reward:-18.0, Explore P: 0.9958397650424549, loss: 1017.27795
Episode: 29, Total reward:-21.0, Explore P: 0.9955333775400009, loss: 61.67169
Episode: 30, Total reward:-20.0, Explore P: 0.9952175517556302, loss: 418.68634
Episode: 31, Total reward:-21.0, Explore P: 0.9948913670625978, loss: 89.1321
Episode: 32, Total reward:-21.0, Explore P: 0.9945552731985761, loss: 9.049098
Episode: 33, Total reward:-19.0, Explore P: 0.9942101130339325, loss: 5.92924
Episode: 34, Total reward:-21.0, Explore P: 0.9938534480001434, loss: 158.4047
Episode: 35, Total reward:-20.0, Explore P: 0.9934876150364698, loss: 164.33401
Episode: 36, Total reward:-21.0, Explore P: 0.9931111697450933, loss: 34.49426
Episode: 37, Total reward:-21.0, Explore P: 0.9927236435966809, loss: 242.54294
Episode: 38, Total reward:-21.0, Explore P: 0.9923254705478836, loss: 207.97446
Episode: 39, Total reward:-20.0, Explore P: 0.9919160138980133, loss: 48.174744
Episode: 40, Total reward:-20.0, Explore P: 0.9914941660619132, loss: 195.9296
Episode: 41, Total reward:-21.0, Explore P: 0.9910604348849704, loss: 14.386586
Episode: 42, Total reward:-21.0, Explore P: 0.9906164588290155, loss: 330.02332
Episode: 43, Total reward:-18.0, Explore P: 0.990160437491374, loss: 259.10345
